mobility	selfcare	activity	pain	anxiety	EQ5Dindex
1	2	3	5	3	0.258
1	2	3	5	4	0.220
1	2	3	5	5	0.180
1	2	4	1	1	0.573
1	2	4	1	2	0.548
1	2	4	1	3	0.541
1	2	4	1	4	0.457
1	2	4	1	5	0.370
1	2	4	2	1	0.516
1	2	4	2	2	0.490
1	2	4	2	3	0.484
1	2	4	2	4	0.399
1	2	4	2	5	0.312
1	2	4	3	1	0.501
1	2	4	3	2	0.476
1	2	4	3	3	0.469
1	2	4	3	4	0.385
1	2	4	3	5	0.298
1	2	4	4	1	0.409
1	2	4	4	2	0.384
1	2	4	4	3	0.377
1	2	4	4	4	0.311
1	2	4	4	5	0.243
1	2	4	5	1	0.271
1	2	4	5	2	0.245
1	2	4	5	3	0.239
1	2	4	5	4	0.201
1	2	4	5	5	0.161
1	2	5	1	1	0.440
1	2	5	1	2	0.415
1	2	5	1	3	0.408
1	2	5	1	4	0.370
1	2	5	1	5	0.330
1	2	5	2	1	0.383
1	2	5	2	2	0.357
1	2	5	2	3	0.351
1	2	5	2	4	0.312
1	2	5	2	5	0.273
1	2	5	3	1	0.368
1	2	5	3	2	0.343
1	2	5	3	3	0.336
1	2	5	3	4	0.298
1	2	5	3	5	0.258
1	2	5	4	1	0.314
1	2	5	4	2	0.288
1	2	5	4	3	0.282
1	2	5	4	4	0.243
1	2	5	4	5	0.204
1	2	5	5	1	0.231
1	2	5	5	2	0.206
1	2	5	5	3	0.199
1	2	5	5	4	0.161
1	2	5	5	5	0.121
1	3	1	1	1	0.677
1	3	1	1	2	0.652
1	3	1	1	3	0.645
1	3	1	1	4	0.539
1	3	1	1	5	0.428
1	3	1	2	1	0.619
1	3	1	2	2	0.594
1	3	1	2	3	0.587
1	3	1	2	4	0.481
1	3	1	2	5	0.370
1	3	1	3	1	0.605
1	3	1	3	2	0.580
1	3	1	3	3	0.573
1	3	1	3	4	0.467
1	3	1	3	5	0.356
1	3	1	4	1	0.495
1	3	1	4	2	0.469
1	3	1	4	3	0.463
1	3	1	4	4	0.384
1	3	1	4	5	0.301
1	3	1	5	1	0.329
1	3	1	5	2	0.304
1	3	1	5	3	0.297
1	3	1	5	4	0.259
1	3	1	5	5	0.219
1	3	2	1	1	0.630
1	3	2	1	2	0.604
1	3	2	1	3	0.598
1	3	2	1	4	0.491
1	3	2	1	5	0.381
1	3	2	2	1	0.572
